Edad,Sexo,Facultad,Pregunta,Opción,Comentarios
19,F,Derecho,4,1,
19,F,Derecho,5,3,
19,F,Derecho,6,4,
19,F,Derecho,7,1,
19,F,Derecho,8,1,
19,F,Derecho,9,4,
19,F,Derecho,10,3,
19,F,Derecho,11,2,
19,F,Derecho,12,1,
18,F,Derecho,1,1,
18,F,Derecho,2,2,
18,F,Derecho,3,2,
18,F,Derecho,4,4,
18,F,Derecho,5,1,
18,F,Derecho,6,2,
18,F,Derecho,7,4,
18,F,Derecho,8,2,
18,F,Derecho,9,2,
18,F,Derecho,10,4,
18,F,Derecho,11,1,
18,F,Derecho,12,1,
17,F,Derecho,1,2,
17,F,Derecho,2,1,
17,F,Derecho,3,2,
17,F,Derecho,4,1,
17,F,Derecho,5,3,
17,F,Derecho,6,2,
17,F,Derecho,7,1,
17,F,Derecho,8,1,
17,F,Derecho,9,3,
17,F,Derecho,10,4,
17,F,Derecho,11,2,
17,F,Derecho,12,2,
19,F,Derecho,1,2,
19,F,Derecho,2,3,
19,F,Derecho,3,2,
19,F,Derecho,4,1,
19,F,Derecho,5,3,
19,F,Derecho,6,2,
19,F,Derecho,7,1,
19,F,Derecho,8,3,
19,F,Derecho,9,2,
19,F,Derecho,10,1,
19,F,Derecho,11,2,
19,F,Derecho,12,2,
19,F,Derecho,1,3,
19,F,Derecho,2,3,
19,F,Derecho,3,4,
19,F,Derecho,4,2,
19,F,Derecho,5,1,
19,F,Derecho,6,4,
19,F,Derecho,7,2,
19,F,Derecho,8,3,
19,F,Derecho,9,4,
19,F,Derecho,10,1,
19,F,Derecho,11,2,
19,F,Derecho,12,1,
19,F,Derecho,1,3,
19,F,Derecho,2,3,
19,F,Derecho,3,4,
19,F,Derecho,4,2,
19,F,Derecho,5,1,
19,F,Derecho,6,4,
19,F,Derecho,7,2,
19,F,Derecho,8,3,
19,F,Derecho,9,4,
19,F,Derecho,10,1,
19,F,Derecho,11,2,
19,F,Derecho,12,1,
21,F,Derecho,1,3,
21,F,Derecho,2,3,
21,F,Derecho,3,3,
21,F,Derecho,4,1,
21,F,Derecho,5,4,
21,F,Derecho,6,3,
21,F,Derecho,7,3,
21,F,Derecho,8,2,
21,F,Derecho,9,4,
21,F,Derecho,10,1,
21,F,Derecho,11,2,
21,F,Derecho,12,2,
19,F,Derecho,1,2,
19,F,Derecho,2,1,
19,F,Derecho,3,4,
19,F,Derecho,4,1,
19,F,Derecho,5,1,
19,F,Derecho,6,3,
19,F,Derecho,7,3,
19,F,Derecho,8,2,
19,F,Derecho,9,2,
19,F,Derecho,10,1,
19,F,Derecho,11,2,
19,F,Derecho,12,1,
20,F,Derecho,1,4,
20,F,Derecho,2,3,
20,F,Derecho,3,2,
20,F,Derecho,4,1,
20,F,Derecho,5,1,
20,F,Derecho,6,4,
20,F,Derecho,7,1,
20,F,Derecho,8,3,
20,F,Derecho,9,2,
20,F,Derecho,10,4,
20,F,Derecho,11,2,
20,F,Derecho,12,1,
21,F,Derecho,1,1,
21,F,Derecho,2,3,
21,F,Derecho,3,4,
21,F,Derecho,4,1,
21,F,Derecho,5,1,
21,F,Derecho,6,2,
21,F,Derecho,7,2,
21,F,Derecho,8,1,
21,F,Derecho,9,4,
